,N°,Ministère (Client),Code NAF,SIREN,Direction,Date prévisionnelle d'entrée dans le marché,Fournisseur actuel d'électricité,Identification des sites_NOM DU SITE,Identification des sites_ADRESSE,Identification des sites_CODE POSTAL,Identification des sites_VILLE,Identification des sites_SIRET,Identification des sites_RAE,Identification des sites_TYPE DE TARIF_Tarif - Option - Version (TOV),Identification des sites_TENSION DE RACCORDEMENT_Basse tension (BT) ou HTA1 (20 kV),Puissances-souscrite_P,Puissances-souscrite_HPH,Puissances-souscrite_HCH,Puissances-souscrite_HPE,Puissances-souscrite_HCE,Puissances-souscrite_HH(EJP),Puissances-souscrite_P(EJP),Puissances-max_P,Puissances-max_HPH,Puissances-max_HCH,Puissances-max_HPE,Puissances-max_HCE,Puissances-max_HH(EJP),Puissances-max_P(EJP),CA(kWh)_P,CA(kWh)_HPH,CA(kWh)_HCH,CA(kWh)_HPE,CA(kWh)_HCE,CA(kWh)_HH(EJP),CA(kWh)_P(EJP),CA(kWh)_TOTAL,Electricité verte,Référence de la base de données immobilière du site concerné par le point de livraison_N° chorus Re-FX,Evénements de nature à modifier les prévisions de consommation_Pérennité du site (oui/non),Evénements de nature à modifier les prévisions de consommation_Variabilité (oui/non),Evénements de nature à modifier les prévisions de consommation_Ecart en % en + ou en -(ex : + 10 % ou - 5 %),Evénements de nature à modifier les prévisions de consommation_Date et commentaires
0,1,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX -  CD MAUZAC,NOUVEL ETABLISSEMENT 24150 MAUZAC ET GRAND CASTANG,24150,MAUZAC ET GRAND CASTANG,17330120100153.0,30001620188613,TARIF VERT A5 - OPTION BASE LU,HTA 5P (2),320,320.0,320.0,320.0,320.0,,,361.0,317.0,185.0,298.0,147.0,,,50292.0,234212.0,172974.0,307140.0,174980.0,,,939598.0,NON,121743/384604,OUI,NON,,
1,2,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX – CD EYSSES,1 RUE PIERRE DOIZE BP 315 47300 VILLENEUVE SUR LOT,47300,VILLENEUVE SUR LOT,17330120100120.0,30001630205962,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),320,320.0,320.0,320.0,320.0,,,361.0,373.0,302.0,278.0,200.0,,,78282.0,365128.0,281394.0,373637.0,246388.0,,,1344829.0,NON,102776/169149,OUI,OUI,,Travaux de rénovation en cours
2,3,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP -BX -  CP BORDEAUX GRADIGNAN ,- BAT A 36 RUE DU BOURDILLAT BP 109 33170 GRADIGNAN,33170,GRADIGNAN,17330120100641.0,30001610319785,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),280,300.0,300.0,300.0,300.0,,,370.0,330.0,245.0,318.0,211.0,,,62881.0,291629.0,235544.0,359943.0,242211.0,,,1192208.0,NON,115924/188873,OUI,NON,,
3,4,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MIN JUS - DAP –BX -MC ST MARTIN DE RE,LA CITADELLE 17410 ST MARTIN DE RE,17410,ST MARTIN DE RE,17330120100187.0,30001520465808,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),450,450.0,450.0,450.0,450.0,,,296.0,287.0,204.0,221.0,156.0,,,58050.0,279577.0,200482.0,303307.0,161546.0,,,1002962.0,NON,128538/184195,OUI,NON,,
4,5,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE CLAIRVAUX,DE CLAIRVAUX 10310 VILLE SOUS LA FERTE,10310,VILLE SOUS LA FERTE,17210120600164.0,30000450232843,TARIF VERT A5 - OPTION BASE LU,HTA 5P (2),460,460.0,460.0,460.0,460.0,,,258.0,254.0,222.0,195.0,152.0,,,56238.0,258551.0,216245.0,267613.0,194896.0,,,993543.0,NON,,OUI,NON,,
5,6,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE- ST MAUR,BEL AIR 36250 ST MAUR,36250,ST MAUR,17210120600552.0,30001760158747,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),550,590.0,590.0,590.0,590.0,,,554.0,560.0,388.0,469.0,284.0,,,102365.0,490027.0,344187.0,635901.0,354422.0,,,1926902.0,NON,,OUI,NON,,
6,7,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,JUSTICE- VAL DE REUIL- MAISON D'ARRET (02994),LES VIGNETTES 27100 VAL DE REUIL,27100,VAL DE REUIL,17590120600250.0,30000220299483,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),870,870.0,870.0,870.0,870.0,,,876.0,811.0,666.0,793.0,565.0,,,192485.0,949441.0,673777.0,1203930.0,712212.0,,,3731845.0,NON,,OUI,NON,,
7,8,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRET,85 AVENUE DE LA DEFENSE PASSIVE 80080 AMIENS,80080,AMIENS,17590120600169.0,30000160137206,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),280,280.0,280.0,280.0,280.0,,,267.0,257.0,202.0,249.0,167.0,,,41952.0,219669.0,131359.0,331210.0,163927.0,,,888117.0,NON,,OUI,NON,,
8,9,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,JUSTICE- ROUEN- MAISON D'ARRET (03280),1 RUE DE LA MOTTE 76100 ROUEN,76100,ROUEN,17590120600193.0,30000210328076,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),400,400.0,400.0,400.0,400.0,,,457.0,449.0,385.0,430.0,369.0,,,90332.0,426622.0,283596.0,592959.0,318281.0,,,1711790.0,NON,,OUI,NON,,
9,10,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,PRISON-M.A. DE GRENOBLE,. 38760 VARCES ALLIERES ET RISSET,38760,VARCES ALLIERES ET RISSET,17690120500144.0,30001930387556,TARIF VERT A5 - OPTION BASE MU,HTA SDT (2),250,250.0,250.0,250.0,250.0,,,242.0,243.0,207.0,201.0,165.0,,,53354.0,253397.0,213134.0,289762.0,202315.0,,,1011962.0,NON,,OUI,NON,,
10,11,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CD DE RIOM,17 RUE SOUBRANY 63200 RIOM,63200,RIOM,17690120500177.0,30001710344444,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),260,260.0,260.0,260.0,260.0,,,281.0,276.0,186.0,245.0,150.0,,,50647.0,212707.0,146117.0,298446.0,160296.0,,,868213.0,NON,,OUI,NON,,
11,12,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRET LA TALAUDIERE,RUE DE LA SAUVAGERE 42350 LA TALAUDIERE,42350,LA TALAUDIERE,17690120500045.0,30001980476923,TARIF VERT A5 - OPTION BASE MU,HTA SDT (2),285,285.0,285.0,285.0,285.0,,,239.0,237.0,188.0,218.0,191.0,,,53022.0,263507.0,195078.0,333776.0,195487.0,,,1040870.0,NON,,OUI,NON,,
12,13,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE PENITENTIAIRE DE MARSEILLE,CHEMIN DE MORGIOU 13009 MARSEILLE,13009,MARSEILLE,10020000501664.0,30002510262649,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),780,780.0,780.0,780.0,780.0,,,961.0,942.0,745.0,767.0,528.0,,,205710.0,986672.0,687852.0,1205214.0,635947.0,,,3721395.0,NON,119609/200495,OUI,NON,,
13,14,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISSONR D'ARRET DE NICE,12 RUE DE LA GENDARMERIE 06000 NICE,6000,NICE,17130120300096.0,30002540351442,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),255,255.0,255.0,255.0,255.0,,,272.0,265.0,241.0,226.0,179.0,,,61560.0,305142.0,227581.0,395005.0,229000.0,,,1218288.0,NON,115922/189797,OUI,NON,,
14,15,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,M. JUSTICE - CENTRE PENITENTIAIRE,68 BOULEVARD ALBERT EINSTEIN 44300 NANTES,44300,NANTES,17350120600093.0,30001420776403,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),450,450.0,450.0,450.0,450.0,,,525.0,495.0,353.0,438.0,310.0,,,99545.0,493299.0,358557.0,641199.0,368262.0,,,1960862.0,NON,,OUI,NON,,
15,16,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE PENITENTIAIRE DES FEMMES DE  RENNES,18 B RUE DE CHATILLON 35000 RENNES,35000,RENNES,17350120600143.0,30001440267045,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),320,320.0,320.0,320.0,320.0,,,347.0,333.0,224.0,275.0,189.0,,,62955.0,312619.0,201400.0,379700.0,186331.0,,,1143005.0,NON,,OUI,NON,,
16,17,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,M JUSTICE  MAISON D ARRET,171 RUE DU GENERAL PAULET 29200 BREST,29200,BREST,17350120600283.0,30001460025099,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),320,320.0,320.0,320.0,320.0,,,331.0,318.0,271.0,266.0,235.0,,,50398.0,246170.0,173181.0,316466.0,190172.0,,,976387.0,NON,30001460025099,OUI,NON,,
17,18,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,M JUSTICE  EX MAISON D ARRET CAEN,10 RUE GENERAL DUPARGE 14000 CAEN,14000,CAEN,17350120600192.0,30000240236190,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),263,263.0,263.0,263.0,263.0,,,222.0,234.0,189.0,200.0,167.0,,,34492.0,166890.0,110753.0,208080.0,113686.0,,,633901.0,NON,,OUI,NON,,
18,19,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,LE CENTRE DE DETENTION,39 RUE GENERAL MOULIN 14000 CAEN,14000,CAEN,17350120600184.0,30000240852236,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),360,360.0,360.0,360.0,360.0,,,394.0,406.0,303.0,340.0,219.0,,,83311.0,383817.0,253728.0,443324.0,225806.0,,,1389986.0,NON,,OUI,NON,,
19,20,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE PENITENTIAIRE DE CAEN,35 RUE GENERAL MOULIN 14000 CAEN,14000,CAEN,17350120600184.0,30000241043274,TARIF VERT A5 - OPTION BASE CU,HTA 5P (2),305,305.0,305.0,305.0,305.0,,,331.0,333.0,79.0,277.0,46.0,,,36323.0,136864.0,41785.0,192828.0,21682.0,,,429482.0,NON,,OUI,NON,,
20,21,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,SERVICES PENITENCIERS LARO - PERPIGNAN,CHEMIN DE MAILLOLES 66000 PERPIGNAN,66000,PERPIGNAN,17310120500214.0,30002420249364,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),450,450.0,450.0,450.0,450.0,,,480.0,448.0,346.0,465.0,315.0,,,92123.0,457241.0,342918.0,728109.0,448434.0,,,2068825.0,NON,,OUI,NON,,
21,22,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION,ROUTE DE SEYSSES BP 312 31600 MURET,31600,MURET,11001001400014.0,30002311658060,TARIF VERT A5 - OPTION BASE MU,HTA SDT (2),258,258.0,258.0,258.0,258.0,,,127.0,127.0,32.0,124.0,30.0,,,15355.0,77543.0,29858.0,112530.0,33059.0,,,268345.0,NON,,OUI,NON,,
22,23,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION,ROUTE DE SEYSSES BP 312 31600 MURET,31600,MURET,,30002311471650,TARIF VERT A5 - OPTION EJP MU,HTA SDT (2),,,,735.0,735.0,735.0,0.0,,,,669.0,455.0,783.0,753.0,,,,924671.0,616857.0,1410812.0,4398.0,2956738.0,NON,,OUI,NON,,
23,24,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRÊT DES YVELINES BOIS D'ARCY,RUE ALEXANDRE TURPAULT 78390 BOIS D ARCY,78390,BOIS D ARCY,17940120300031.0,30002110536531,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),520,520.0,520.0,520.0,520.0,,,560.0,579.0,439.0,537.0,389.0,,,117879.0,619257.0,454810.0,721495.0,418433.0,,,2331874.0,NON,,OUI,NON,,
24,25,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRÊT DE FLEURY MEROGIS,7 AVENUE DES PEUPLIERS 91700 FLEURY MEROGIS,91700,FLEURY MEROGIS,17940120300072.0,30002220440508,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),2200,2200.0,2200.0,2200.0,2200.0,,,2951.0,2951.0,2425.0,2264.0,1879.0,,,720225.0,3634859.0,2932142.0,4352329.0,2858119.0,,,14497674.0,OUI,,OUI,OUI,,"OUVERTURE COURANT 2015 du bâtiment D4 depuis le 10/02/2015: puissance 2670
Prévoir peut-être une puissance de 2950 pour 2016"
25,26,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE PENITENTIAIRE DE FRESNES - CENTRE PENI,ALLEE DES THUYAS 94260 FRESNES,94260,FRESNES,17940120300098.0,30002130237208,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),650,830.0,830.0,830.0,830.0,,,899.0,889.0,796.0,756.0,623.0,,,223782.0,1066988.0,806347.0,1322791.0,810879.0,,,4230787.0,NON,,OUI,NON,,
26,27,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION DE MELUN,QUAI DE LA COURTILLE 77000 MELUN,77000,MELUN,17940120300205.0,30002210163401,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),385,408.0,408.0,408.0,408.0,,,435.0,445.0,293.0,356.0,201.0,,,88826.0,422733.0,309113.0,472358.0,252001.0,,,1545031.0,OUI,,OUI,NON,,
27,28,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE POISSY,17 RUE DE L ABBAYE 78300 POISSY,78300,POISSY,17940120300064.0,30002110399277,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),320,320.0,320.0,320.0,320.0,,,394.0,363.0,285.0,304.0,245.0,,,78747.0,366150.0,265342.0,441511.0,249432.0,,,1401182.0,NON,,OUI,NON,,
28,29,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON CENTRALE D ENSISHEIM,49 RUE DE LA 1ERE ARMEE 68190 ENSISHEIM,68190,ENSISHEIM,17670120900049.0,30000630111148,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),320,320.0,320.0,320.0,320.0,,,396.0,406.0,244.0,359.0,216.0,,,74114.0,340886.0,247174.0,447799.0,256898.0,,,1366871.0,NON,102555 / 145119,OUI,NON,,
29,30,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION TOUL,804 RUE DU MARECHAL LYAUTEY 54200 TOUL,54200,TOUL,17670120900239.0,30000510086550,TARIF VERT A5 - OPTION BASE LU,HTA 5P (2),300,300.0,300.0,300.0,300.0,,,385.0,395.0,59.0,365.0,32.0,,,43777.0,208160.0,56545.0,289789.0,32864.0,,,631135.0,NON,101710 / 140509,OUI,NON,,
30,31,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION  ECROUVES,323 ROUTE DE PAGNEY CENTRE PENIT 54200 ECROUVES,54200,ECROUVES,17670120900197.0,30000510282202,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),280,280.0,280.0,280.0,280.0,,,272.0,245.0,197.0,228.0,152.0,,,54726.0,257831.0,185094.0,326272.0,188521.0,,,1012444.0,NON,101631 / 138687,OUI,NON,,
31,32,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION  OERMINGEN,. 67970 OERMINGEN,67970,OERMINGEN,17670120900098.0,30000550073553,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),250,250.0,250.0,250.0,250.0,,,353.0,336.0,232.0,322.0,185.0,,,60996.0,286558.0,194941.0,372982.0,210174.0,,,1125651.0,NON,109088 / 145450,OUI,NON,,
32,33,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,MAISON D'ARRET D'EPINAL,SIGNE 09/06/99 13 RUE VILLARS 01/01/99 88000 EPINAL,88000,EPINAL,17670120900288.0,30000540177920,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),260,260.0,260.0,260.0,260.0,,,284.0,294.0,192.0,255.0,145.0,,,53038.0,253525.0,187044.0,327220.0,204657.0,,,1027542.0,NON,132088 / 191440,OUI,NON,,
33,34,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION  TOUL,804 RUE DU MARECHAL LYAUTEY 54200 TOUL,54200,TOUL,17670120900239.0,30000510086448,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),280,280.0,280.0,280.0,280.0,,,310.0,319.0,279.0,276.0,248.0,,,71069.0,339162.0,268939.0,418642.0,281191.0,,,1379003.0,NON,101710 / 140509,OUI,NON,,
34,35,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,CENTRE DE DETENTION MONTMEDY,48324 RUE DU COMMANDANT MENARD CONTRAT 48324 55600 MONTMEDY,55600,MONTMEDY,17670120900270.0,30000520361966,TARIF VERT A5 - OPTION EJP MU,HTA 5P (2),,,,350.0,350.0,350.0,0.0,,,,305.0,181.0,349.0,308.0,,,,425468.0,230170.0,516909.0,1273.0,1173820.0,NON,"115472 / 143135
n° 8",OUI,NON,,
35,36,JUSTICE,84.23Z,110010014,DAP,2015-11-01,EDF,REIP - MURET,ROUTE DE SEYSSES,31600,MURET,17310120500164.0,30002311160384,VERT Base A5 MU,HTA 5P (2),280,280.0,280.0,280.0,280.0,,,241.0,257.0,24.0,271.0,16.0,,,22312.0,111507.0,12940.0,179858.0,11936.0,,,338553.0,NON,,OUI,NON,,
36,37,JUSTICE,84.23Z,110010014,DSJ,2015-11-01,EDF,MIN JUS - T.G.I. DE BORDEAUX,30 RUE DES FRERES BONIE 33000 BORDEAUX,33000,BORDEAUX,17330111000115.0,30001611321283,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),530,530.0,530.0,660.0,660.0,,,601.0,603.0,395.0,616.0,398.0,,,116618.0,612058.0,341222.0,1019291.0,447571.0,,,2536760.0,NON,117806/221459,OUI,NON,,
37,38,JUSTICE,84.23Z,110010014,DSJ,2015-11-01,EDF,JUSTICE 1 JUDIC - TGI LILLE,AVENUE DU PEUPLE BELGE 59800 LILLE,59800,LILLE,17590111500709.0,30000110420652,TARIF VERT A5 - OPTION BASE LU,HTA SDT (2),370,370.0,370.0,370.0,370.0,,,383.0,393.0,187.0,353.0,152.0,,,68820.0,373543.0,144554.0,474600.0,156840.0,,,1218357.0,NON,105018/156138,OUI,NON,,
38,39,JUSTICE,84.23Z,110010014,DSJ,2015-11-01,EDF,JUSTICE 2 JUDIC - TGI DOUAI,PLACE CHARLES DE POLLINCHOVE 59500 DOUAI,59500,DOUAI,17590111500014.0,30000130159210,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),255,255.0,255.0,255.0,255.0,,,258.0,249.0,120.0,258.0,125.0,,,36028.0,190007.0,81404.0,271102.0,98663.0,,,677204.0,NON,140643/163278,OUI,NON,,
39,40,JUSTICE,84.23Z,110010014,DSJ,2015-11-01,EDF,NOUVEAU PALAIS DE JUSTICE,PLACE PIERRE FLOTTE 34000 MONTPELLIER,34000,MONTPELLIER,17340111800588.0,30002430739747,TARIF VERT A5 - OPTION BASE MU,HTA 5P (2),230,230.0,230.0,400.0,400.0,,,188.0,193.0,132.0,404.0,356.0,,,40064.0,221233.0,132452.0,508823.0,281297.0,,,1183869.0,NON,149780,OUI,NON,,
